818,2020-Overall,Michigan,All,All,3760.0,1779.0,0.4731
819,2020-Overall,Minnesota,All,All,4299.0,2433.0,0.5659
820,2020-Overall,Mississippi,All,All,694.0,229.0,0.33
821,2020-Overall,Missouri,All,All,994.0,421.0,0.4235
822,2020-Overall,Montana,All,All,5758.0,1935.0,0.3361
823,2020-Overall,Nebraska,All,All,1109.0,442.0,0.3986
824,2020-Overall,Nevada,All,All,2096.0,904.0,0.4313
825,2020-Overall,New Hampshire,All,All,96.0,67.0,0.6979
826,2020-Overall,New Jersey,All,All,318.0,195.0,0.6132
827,2020-Overall,New Mexico,All,All,15166.0,8602.0,0.5672
828,2020-Overall,New York,All,All,2551.0,1354.0,0.5308
829,2020-Overall,North Carolina,All,All,5217.0,2476.0,0.4746
830,2020-Overall,North Dakota,All,All,3047.0,845.0,0.2773
831,2020-Overall,Ohio,All,All,375.0,212.0,0.5653
832,2020-Overall,Oklahoma,All,All,37990.0,21958.0,0.578
833,2020-Overall,Oregon,All,All,3811.0,2111.0,0.5539
